Education;Marital_Status;Income;Kidhome;Recency;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Complain;all_Response;Age;CustomerDayLong;MNT
2;5;66653.0;1;18;4.0;4.0;2.0;12;3.0;0.0;0.0;46.0;3311;612.0
2;4;61823.0;0;26;4.0;8.0;2.0;10;7.0;0.0;0.0;69.0;3147;884.0
4;6;67680.0;0;8;1.0;7.0;3.0;8;5.0;0.0;0.0;70.0;3034;606.0
2;5;70666.0;0;29;1.0;7.0;4.0;4;4.0;0.0;0.0;73.0;2856;1076.0
2;3;25721.0;1;75;1.0;1.0;1.0;2;7.0;0.0;1.0;50.0;3055;34.0
2;5;32474.0;1;0;1.0;1.0;0.0;2;7.0;0.0;0.0;54.0;2700;11.0
0;4;88194.0;0;19;1.0;11.0;10.0;10;5.0;0.0;3.0;42.0;2753;1274.0
2;5;69096.0;0;4;1.0;5.0;2.0;10;4.0;0.0;0.0;63.0;2926;653.0
2;5;74854.0;1;90;7.0;2.0;5.0;5;5.0;0.0;0.0;51.0;3098;1562.0
3;3;66991.0;0;1;3.0;4.0;8.0;6;3.0;0.0;0.0;67.0;3307;1253.0
0;3;51908.0;1;25;3.0;3.0;0.0;3;8.0;0.0;0.0;48.0;3304;109.0
2;3;65031.0;0;29;4.0;10.0;3.0;13;7.0;0.0;0.0;62.0;3120;863.0
4;3;60631.0;1;88;5.0;9.0;2.0;8;7.0;0.0;1.0;46.0;3101;661.0
2;3;28332.0;0;58;1.0;2.0;1.0;4;2.0;0.0;0.0;69.0;2711;65.0
2;2;40246.0;1;68;1.0;1.0;0.0;2;6.0;0.0;0.0;44.0;3208;13.0
3;3;75251.0;0;34;1.0;7.0;6.0;5;5.0;0.0;1.0;49.0;3322;1809.096117535263
2;4;75825.0;0;40;0.0;5.0;8.0;9;4.0;0.0;2.0;45.0;3276;2209.0
0;5;26326.0;0;12;1.0;0.0;0.0;3;3.0;0.2985485038334946;0.0;45.0;2949;18.0
2;5;56046.0;0;9;2.0;10.0;1.0;8;8.0;0.0;2.0;56.0;3194;692.0
2;4;29760.0;1;87;4.0;3.0;1.0;4;8.0;0.0;0.0;36.0;3320;165.0
2;3;26304.0;1;5;1.0;1.0;0.0;2;7.0;0.0;0.0;52.0;3022;16.0
0;3;23559.0;1;87;3.0;3.0;0.0;3;7.0;0.0;0.0;48.0;3012;79.0
3;5;38620.0;0;56;1.0;2.0;5.0;3;3.0;0.0;0.0;58.0;3065;318.0
2;2;81361.0;0;18;1.0;3.0;10.0;13;1.0;0.0;0.0;34.0;2775;778.0
2;3;29440.0;1;95;2.0;1.0;0.0;4;7.0;0.0;0.0;61.0;2973;56.0
3;3;36138.0;1;48;5.0;3.0;1.0;4;7.0;0.0;1.0;51.0;2999;151.0
2;4;50388.0;0;3;4.0;6.0;1.0;6;7.0;0.0;3.0;64.0;2683;372.0
2;3;79593.0;0;70;1.0;5.0;6.0;7;2.0;0.0;1.0;48.0;2699;1366.0
2;5;54178.0;0;79;1.0;2.0;2.0;5;2.0;0.0;0.0;54.0;2810;194.0
4;3;51908.0;2;4;8.121712502567885;7.0;2.0;8;9.0;0.0;0.0;64.0;3238;603.0
2;4;51908.0;1;45;1.0;1.0;0.0;2;7.0;0.0;0.0;64.0;2684;18.0
3;5;51908.0;0;87;1.0;2.0;4.0;8;1.0;0.0;0.0;48.0;2869;985.0
3;4;42394.0;1;69;1.0;1.0;0.0;3;7.0;0.0;0.0;49.0;2749;32.0
4;3;23626.0;1;84;3.0;3.0;1.0;3;5.0;0.0;0.0;51.0;2687;43.0
2;3;30096.0;1;30;1.0;2.0;0.0;3;6.0;0.0;0.0;38.0;2689;45.0
2;6;47916.0;0;72;5.0;7.0;4.0;6;6.0;0.0;1.0;61.0;3235;606.0
2;2;51813.0;1;37;2.0;2.0;0.0;3;7.0;0.0;0.0;49.0;3095;63.0
0;3;78497.0;0;44;1.0;5.0;7.0;12;2.0;0.0;1.0;70.0;2861;955.5241917449916
4;3;50150.0;0;32;2.0;5.0;2.0;7;5.0;0.0;0.0;38.0;3025;410.0
0;4;47823.0;0;0;2.0;2.0;0.0;3;8.0;0.0;0.0;61.0;2992;72.0
4;4;34554.0;0;43;2.0;2.0;0.0;3;6.0;0.0;0.0;62.0;2742;55.0
2;5;85693.0;0;59;2.0;9.0;5.0;11;5.0;0.0;0.0;42.0;3086;1142.6225334365931
4;3;65846.0;0;68;1.0;6.0;3.0;6;4.0;0.0;0.0;76.0;3059;1120.0
2;3;87195.0;0;35;1.0;3.0;11.0;5;1.0;0.0;1.0;62.0;2703;1097.0
1;5;24594.0;1;94;1.0;1.0;0.0;3;5.0;0.0;0.0;42.0;2852;29.0
2;3;49096.0;1;15;4.0;4.0;1.0;4;7.0;0.0;0.0;57.0;2929;187.0
2;3;52413.0;0;56;4.0;6.0;4.0;12;6.0;0.0;0.0;52.0;3163;910.0
2;4;38557.0;1;17;2.0;3.0;1.0;3;7.0;0.0;0.0;43.0;3208;145.0
3;3;89058.0;0;18;1.0;5.0;4.0;4;2.0;0.0;0.0;61.0;3220;801.6225334365931
2;5;77298.0;0;46;1.0;6.0;6.0;11;3.0;0.0;0.0;42.0;2890;969.0
4;4;68126.0;0;40;1.0;7.0;4.0;5;9.0;0.0;2.0;30.0;3247;1801.7278921018287
3;5;57288.0;0;27;3.0;8.0;1.0;8;6.0;0.0;1.0;58.0;2655;608.0
2;4;86037.0;0;95;1.0;6.0;7.0;11;3.0;0.0;3.0;30.0;3194;730.0
4;3;43974.0;1;19;5.0;6.0;4.0;6;7.0;0.0;0.0;41.0;3215;551.0
2;4;50785.0;1;27;2.0;2.0;1.0;3;6.0;0.0;0.0;59.0;2943;114.0
2;3;90765.0;0;25;0.0;4.0;6.0;5;1.0;0.0;2.0;51.0;2807;1724.0
0;3;36550.0;1;74;5.0;9.0;1.0;5;9.0;0.0;0.0;43.0;3146;577.0
0;5;30753.0;1;85;2.0;1.0;1.0;3;5.0;0.0;0.0;54.0;3004;81.0
2;5;21918.0;1;37;2.0;2.0;0.0;3;6.0;0.0;0.0;52.0;2878;33.0
3;5;56129.0;0;65;4.0;6.0;2.0;10;4.0;0.0;0.0;68.0;3025;660.0
3;4;32557.0;1;13;3.0;2.0;1.0;3;5.0;0.0;1.0;54.0;2776;80.0
3;3;19510.0;2;63;2.0;1.0;0.0;3;7.0;0.0;0.0;36.0;2949;30.0
2;2;30992.0;1;83;1.0;1.0;0.0;3;7.0;0.0;0.0;45.0;3084;43.0
2;4;101970.0;0;69;0.0;6.0;8.0;13;2.0;0.0;3.1185051147150964;38.0;3125;1135.0
0;5;71488.0;0;87;2.0;3.0;4.0;7;1.0;0.0;0.0;56.0;3147;559.0
2;4;79607.0;0;37;1.0;3.0;6.0;6;1.0;0.0;1.0;37.0;3085;1800.6203092802546
3;3;54348.0;1;51;2.0;2.0;0.0;4;6.0;0.0;0.0;68.0;2672;90.0
4;3;51908.0;0;23;3.0;6.0;1.0;7;6.0;0.0;0.0;60.0;3004;404.0
4;5;77376.0;1;72;4.0;6.0;3.0;10;4.0;0.0;0.0;65.0;2701;661.0
2;3;62998.0;0;10;5.0;5.0;4.0;5;5.0;0.0;0.0;69.0;2923;463.0
3;1;61331.0;1;42;5.0;11.0;1.0;6;8.0;0.0;0.0;63.0;3127;632.0
2;3;73448.0;0;10;1.0;7.0;2.0;9;4.0;0.0;0.0;52.0;2790;725.0
2;3;51908.0;0;96;1.0;6.0;5.0;7;4.0;0.0;0.0;58.0;2973;725.0
4;3;41551.0;1;51;5.0;5.0;1.0;5;8.0;0.0;0.0;57.0;2970;279.0
4;5;62981.0;0;21;1.0;4.0;5.0;13;3.0;0.0;1.0;54.0;3120;1482.0
1;2;9548.0;1;31;2.0;1.0;0.0;3;8.0;0.0;0.0;45.0;3341;29.0
4;3;33762.0;2;61;3.0;2.0;2.0;2;8.0;0.0;0.0;62.0;3008;106.0
4;1;35860.0;1;37;2.0;1.0;1.0;2;5.0;0.0;2.0;48.0;2692;49.0
4;2;36921.0;1;74;2.0;2.0;0.0;3;7.0;0.0;0.0;56.0;2987;38.0
3;4;92859.0;0;46;1.0;5.0;4.0;12;2.0;0.0;0.0;29.0;3269;2000.096117535263
3;5;65104.0;0;4;2.0;3.0;5.0;7;7.0;0.0;1.0;45.0;2878;1053.0
2;3;86111.0;0;73;1.0;5.0;7.0;10;2.0;0.0;0.0;59.0;3087;1385.0
4;4;68352.0;0;47;3.0;8.0;5.0;9;6.0;0.0;0.0;47.0;2956;871.0
2;5;41883.0;1;13;3.0;4.0;2.0;3;7.0;0.0;0.0;33.0;3118;312.0
2;3;59809.0;0;36;3.0;3.0;3.0;6;8.0;0.0;0.0;45.0;3270;877.0
2;3;23957.0;1;47;1.0;2.0;0.0;3;6.0;0.0;1.0;46.0;3260;68.0
2;5;38547.0;1;49;1.0;1.0;0.0;2;8.0;0.2985485038334946;0.0;40.0;2956;22.0
0;3;35688.0;2;94;7.0;4.0;1.0;4;8.0;0.0;0.0;48.0;3327;211.0
3;3;49605.0;0;65;1.0;2.0;1.0;4;3.0;0.0;0.0;55.0;2659;127.0
3;3;59354.0;0;59;1.0;4.0;4.0;7;3.0;0.0;0.0;68.0;2717;459.0
2;3;65747.0;0;96;4.0;8.0;1.0;6;6.0;0.0;1.0;52.0;2765;460.0
0;5;46344.0;0;28;4.0;7.0;1.0;5;7.0;0.0;0.0;49.0;3213;429.0
2;1;34176.0;1;12;4.0;3.0;0.0;4;6.0;0.0;0.0;33.0;2699;89.0
4;5;61010.0;0;57;2.0;8.0;5.0;11;5.0;0.0;0.0;69.0;3279;1021.0
2;5;69372.0;0;10;1.0;10.0;4.0;6;4.0;0.0;3.0;72.0;3146;1381.0
2;4;49967.0;0;4;3.0;6.0;1.0;5;7.0;0.0;0.0;63.0;3007;306.0
2;4;60199.0;1;49;1.0;0.0;0.0;3;4.0;0.0;0.0;43.0;2941;18.0
2;5;55375.0;0;3;1.0;1.0;1.0;6;2.0;0.0;0.0;44.0;2906;162.0
2;4;80317.0;0;64;1.0;3.0;4.0;10;1.0;0.0;0.0;66.0;2964;1231.0
3;4;30523.0;2;0;1.0;1.0;0.0;2;7.0;0.0;0.0;63.0;3014;13.0
4;3;70356.0;0;20;2.0;10.0;6.0;9;6.0;0.0;0.0;76.0;3252;1670.7278921018287
2;3;23228.0;1;91;4.0;3.0;0.0;4;8.0;0.0;0.0;37.0;2826;121.0
4;2;74165.0;0;9;1.0;5.0;4.0;10;2.0;0.0;0.0;46.0;3075;1293.0
4;3;127766.0;0;98;8.121712502567885;0.0;11.431355538047729;0;0.0;0.0;0.0;48.0;2771;870.0961175352629
2;5;43482.0;2;83;3.0;2.0;0.0;4;6.0;0.0;0.0;55.0;2879;88.0
2;2;62551.0;0;27;1.0;6.0;7.0;4;3.0;0.0;1.0;68.0;2874;421.0
2;2;52332.0;0;63;1.0;3.0;2.0;6;4.0;0.0;1.0;62.0;2956;259.0
2;4;66951.0;0;46;1.0;3.0;4.0;7;1.0;0.0;0.0;33.0;2890;1100.6225334365931
2;5;26091.0;1;84;3.0;2.0;1.0;3;5.0;0.0;0.0;64.0;2775;89.0
2;5;33456.0;1;58;2.0;1.0;0.0;3;7.0;0.0;0.0;56.0;2720;36.0
2;3;28718.0;1;78;2.0;2.0;0.0;3;8.0;0.0;0.0;39.0;3002;57.0
2;3;50447.0;2;4;1.0;3.0;1.0;3;6.0;0.0;0.0;51.0;2720;148.0
4;5;53537.0;1;17;2.0;2.0;1.0;3;5.0;0.0;0.0;62.0;2801;93.0
2;4;52074.0;0;77;1.0;2.0;2.0;2;4.0;0.0;1.0;54.0;2737;119.0
4;3;80427.0;0;56;1.0;11.0;8.0;8;5.0;0.0;0.0;46.0;3306;1835.0
4;3;83837.0;0;79;1.0;9.0;10.0;5;4.0;0.0;3.0;73.0;3211;1318.0
4;3;38853.0;1;90;2.0;2.0;0.0;3;7.0;0.0;0.0;51.0;2688;45.0
2;5;38285.0;2;96;1.0;0.0;0.0;3;2.0;0.0;0.0;62.0;2656;10.0
0;3;78497.0;0;44;1.0;5.0;7.0;12;2.0;0.0;1.0;70.0;2861;955.5241917449916
4;3;51650.0;0;81;1.0;4.0;1.0;4;5.0;0.0;0.0;45.0;2700;191.0
0;3;16248.0;1;77;3.0;2.0;1.0;3;6.0;0.0;0.0;33.0;2701;57.0
3;3;66835.0;0;21;1.0;6.0;4.0;13;2.0;0.0;0.0;75.0;2925;1033.0
3;3;30477.0;1;16;1.0;1.0;1.0;3;6.0;0.0;0.0;37.0;2809;66.0
1;3;28249.0;0;80;1.0;2.0;0.0;3;6.0;0.0;0.0;60.0;2665;43.0
2;3;25271.0;1;45;1.0;1.0;1.0;2;9.0;0.0;0.0;38.0;3222;50.0
4;4;32303.0;0;63;2.0;1.0;0.0;4;5.0;0.0;0.0;51.0;2764;39.0
2;3;61286.0;0;34;2.0;7.0;1.0;8;5.0;0.0;0.0;55.0;2982;608.0
2;3;74068.0;0;14;1.0;4.0;10.0;9;2.0;0.0;0.0;45.0;3118;1581.0
4;3;45759.0;1;13;2.0;2.0;0.0;3;7.0;0.0;0.0;57.0;3142;68.0
1;5;24882.0;1;52;1.0;1.0;1.0;2;6.0;0.0;1.0;43.0;3309;80.0
4;5;66973.0;0;98;1.0;8.0;7.0;12;3.0;0.0;0.0;32.0;3059;1282.0
0;2;36640.0;1;99;1.0;2.0;1.0;2;5.0;0.2985485038334946;0.0;88.14640479922893;2927;65.0
2;3;38872.0;1;93;2.0;3.0;0.0;3;8.0;0.0;0.0;33.0;3046;91.0
2;3;51148.0;1;38;4.0;5.0;1.0;6;6.0;0.0;0.0;48.0;3147;315.0
2;3;31353.0;1;24;2.0;1.0;1.0;2;8.0;0.0;0.0;44.0;2833;31.0
3;3;69661.0;0;80;1.0;7.0;3.0;12;3.0;0.0;0.0;41.0;2698;834.0
2;3;80067.0;0;82;1.0;4.0;6.0;6;2.0;0.0;1.0;67.0;2934;1577.9044418921358
2;3;86718.0;0;20;1.0;5.0;6.0;5;2.0;0.0;0.0;67.0;3179;1226.6225334365931
4;4;46854.0;1;81;6.0;5.0;1.0;3;8.0;0.0;2.0;48.0;2741;263.0
2;2;69142.0;0;50;3.0;8.0;1.0;7;5.0;0.0;1.0;69.0;2651;535.0
2;4;75922.0;0;60;1.0;4.0;4.0;9;1.0;0.0;0.0;53.0;2853;1272.4123846372045
2;2;63693.0;0;63;3.0;11.0;6.0;9;6.0;0.0;0.0;43.0;2909;1150.0
4;5;102160.0;0;54;0.0;7.0;9.0;10;4.0;0.0;3.1185051147150964;44.0;3255;1214.9044418921358
4;4;40637.0;1;72;2.0;1.0;0.0;3;7.0;0.0;0.0;56.0;2998;38.0
3;4;18890.0;0;5;1.0;0.0;1.0;2;6.0;0.0;2.0;37.0;3247;35.0
2;5;29604.0;1;88;1.0;1.0;0.0;3;9.0;0.0;1.0;33.0;2854;53.0
3;2;48721.0;1;50;6.0;4.0;2.0;5;6.0;0.0;0.0;58.0;3063;293.0
2;3;44794.0;0;99;1.0;2.0;0.0;3;6.0;0.0;0.0;55.0;2672;65.0
2;2;64497.0;0;17;5.0;11.0;4.0;9;8.0;0.0;2.0;67.0;3308;1804.0
2;5;46097.0;0;11;5.0;3.0;1.0;6;4.0;0.0;0.0;65.0;3106;241.0
2;5;77972.0;0;18;1.0;4.0;6.0;9;1.0;0.0;0.0;67.0;2754;1101.0
4;3;44377.0;1;70;8.0;5.0;1.0;5;8.0;0.0;0.0;53.0;3283;264.0
3;5;46014.0;1;21;8.121712502567885;7.0;1.0;8;7.0;0.0;0.0;47.0;3175;541.0
2;3;70951.0;0;66;1.0;3.0;4.0;9;1.0;0.0;0.0;36.0;3072;1145.4123846372045
2;3;41443.0;1;79;6.0;8.0;1.0;5;8.0;0.0;0.0;44.0;2740;482.0
0;4;52195.0;2;2;1.0;1.0;0.0;2;8.0;0.0;0.0;43.0;2699;17.0
3;3;83790.0;0;81;1.0;8.0;10.0;6;3.0;0.0;2.0;73.0;2877;1615.0
3;6;44551.0;0;24;2.0;4.0;1.0;5;7.0;0.0;0.0;67.0;2953;285.0
2;5;69508.0;1;48;2.0;11.0;4.0;11;6.0;0.0;0.0;41.0;3243;1135.0
0;5;45204.0;1;93;1.0;1.0;1.0;4;3.0;0.0;0.0;33.0;2730;114.0
2;3;72460.0;0;56;1.0;3.0;5.0;7;1.0;0.0;0.0;52.0;2878;1047.0
4;5;77622.0;0;3;2.0;6.0;3.0;11;3.0;0.0;0.0;51.0;2727;714.0
4;3;30732.0;1;44;4.0;4.0;1.0;4;8.0;0.0;0.0;41.0;3191;185.0
2;2;63887.0;0;38;5.0;9.0;6.0;12;6.0;0.0;0.0;59.0;3310;1245.0
2;5;42011.0;1;46;4.0;3.0;1.0;4;8.0;0.0;0.0;43.0;3111;189.0
2;5;51369.0;0;84;2.0;8.0;2.0;4;8.0;0.0;0.0;45.0;3263;576.0
2;2;51537.0;0;27;3.0;2.0;2.0;11;8.0;0.0;0.0;69.0;3218;1103.0
4;3;79930.0;0;72;1.0;3.0;5.0;8;2.0;0.0;0.0;49.0;3341;1753.0
4;5;34320.0;1;66;1.0;1.0;0.0;2;8.0;0.0;0.0;35.0;2784;17.0
2;4;37070.0;1;30;8.121712502567885;5.0;1.0;8;7.0;0.0;1.0;55.0;3117;433.0
0;2;81975.0;0;2;1.0;6.0;3.0;4;7.0;0.0;1.0;59.0;3191;1588.0
2;5;38590.0;1;65;1.0;1.0;0.0;2;8.0;0.0;0.0;50.0;3061;22.0
2;4;15033.0;0;37;1.0;1.0;0.0;3;3.0;0.0;0.0;70.0;2725;19.0
4;3;62745.0;0;89;3.0;7.0;8.0;11;5.0;0.0;0.0;56.0;3114;1117.0
0;3;22212.0;1;49;2.0;2.0;0.0;4;6.0;0.0;0.0;46.0;2853;69.0
3;5;23661.0;1;46;1.0;1.0;0.0;3;7.0;0.0;0.0;39.0;2858;23.0
4;4;79761.0;0;32;1.0;5.0;2.0;11;3.0;0.0;0.0;63.0;2919;605.0
2;4;7500.0;1;54;4.0;3.0;1.0;3;7.0;0.0;0.0;48.0;2836;57.0
0;4;60182.0;0;23;1.0;1.0;0.0;2;4.0;0.0;0.0;88.14640479922893;2694;22.0
2;6;73455.0;0;98;1.0;6.0;5.0;10;3.0;0.0;1.0;53.0;2895;2075.9044418921358
2;5;64961.0;0;97;2.0;6.0;4.0;4;3.0;0.0;0.0;63.0;3204;1009.0
2;4;22804.0;1;75;1.0;2.0;0.0;2;9.0;0.0;0.0;50.0;2984;26.0
2;3;73687.0;0;8;1.0;3.0;9.0;9;2.0;0.0;2.0;31.0;2864;1603.0349180737976
2;3;61074.0;0;37;7.0;11.0;5.0;8;7.0;0.0;0.0;63.0;3332;1102.0
4;3;31686.0;1;31;2.0;1.0;0.0;3;6.0;0.0;0.0;57.0;2675;17.0
2;3;80134.0;1;40;2.0;5.0;3.0;6;6.0;0.0;3.1185051147150964;49.0;3056;1690.0
2;3;75027.0;0;74;2.0;9.0;4.0;6;5.0;0.0;0.0;68.0;3187;1390.0
4;3;67546.0;0;90;1.0;4.0;10.0;5;3.0;0.0;0.0;33.0;3318;2126.0
3;5;65176.0;0;57;4.0;9.0;6.0;6;6.0;0.0;0.0;52.0;3259;1512.4123846372045
3;4;31160.0;1;59;2.0;2.0;0.0;3;8.0;0.0;0.0;46.0;2937;64.0
2;4;29938.0;1;52;2.0;1.0;0.0;3;6.0;0.0;0.0;36.0;2896;26.0
2;2;102692.0;0;5;1.0;6.0;9.0;13;2.0;0.0;3.1185051147150964;47.0;3101;1088.526975328729
0;5;26490.0;0;92;2.0;3.0;1.0;5;6.0;0.0;0.0;63.0;3296;210.0
2;5;75702.0;1;77;5.0;4.0;6.0;11;8.0;0.0;0.0;54.0;3320;1148.0
4;4;30899.0;1;35;2.0;1.0;0.0;3;6.0;0.0;0.0;47.0;3275;33.0
4;5;63342.0;0;48;3.0;8.0;3.0;5;6.0;0.0;1.0;60.0;3272;1101.0
2;4;45989.0;0;97;4.0;3.0;2.0;7;3.0;0.0;0.0;57.0;3266;322.0
2;4;18701.0;1;95;4.0;2.0;0.0;4;5.0;0.0;0.0;57.0;3041;44.0
4;4;40737.0;2;24;1.0;1.0;0.0;2;8.0;0.0;0.0;64.0;2854;17.0
2;2;15287.0;1;60;2.0;1.0;1.0;2;7.0;0.0;2.0;42.0;3278;31.0
4;2;69674.0;0;46;3.0;10.0;2.0;10;5.0;0.0;0.0;53.0;3054;845.0
3;3;44159.0;1;85;4.0;4.0;1.0;6;5.0;0.0;0.0;51.0;2663;275.0
4;3;37717.0;1;31;1.0;1.0;0.0;2;9.0;0.0;0.0;43.0;3234;25.0
3;5;43776.0;1;9;6.0;5.0;2.0;4;8.0;0.0;1.0;69.0;3162;275.0
3;3;38179.0;1;30;4.0;3.0;1.0;3;7.0;0.0;0.0;55.0;3123;90.0
2;3;80124.0;0;47;1.0;3.0;7.0;8;1.0;0.0;1.0;58.0;2654;1450.936576382196
4;3;38097.0;1;70;4.0;3.0;2.0;2;7.0;0.0;2.0;51.0;3273;184.0
2;3;72940.0;0;13;1.0;3.0;3.0;6;1.0;0.0;0.0;51.0;3026;981.0
2;5;22070.0;1;11;2.0;2.0;2.0;2;6.0;0.0;0.0;51.0;2919;67.0
